대분류,중분류,소분류,기능명,설명,작업상태,우선순위,구현파일,인수조건
공통,레이아웃,통합 경험,운영 대시보드 레이아웃,생산 관리·주문 관리·손익 분석 기능을 하나의 점주 운영 경험으로 묶는 기본 레이아웃과 공통 내비게이션을 제공한다.,완료,P1,,세 핵심 화면 간 이동이 가능하고 공통 헤더·사이드바가 일관되게 동작한다.
공통,레이아웃,정보 구조,점주용 메인 네비게이션 재구성,점주용 메인 네비게이션을 홈·생산관리·주문관리·손익분석 중심으로 단순화하고 기존 익숙한 메뉴명과 순서를 최대한 유지한다.,미착수,P1,,점주 역할에서 메인 네비게이션이 4개 핵심 메뉴 중심으로 정리되고 불필요한 본사 메뉴가 노출되지 않는다.
공통,권한/정책,역할 제어,역할별 메뉴 접근 제어,점주·매장 운영 담당자·본사 운영 담당자 역할에 따라 메뉴와 화면 접근 범위를 구분한다.,완료,P1,,역할 전환 시 허용된 메뉴만 표시되고 접근 제한 화면이 숨겨진다.
공통,UX,정보 구조,요약 카드와 상세 페이지 분리,중요 지표는 홈 요약 카드에서 먼저 보여주고 세부 판단과 실행은 상세 페이지에서 이어지도록 정보 구조를 분리한다.,미착수,P1,,홈 카드에서 핵심 정보만 먼저 보이고 상세 페이지에서는 추가 근거와 실행 UI가 제공된다.
공통,UX,업무 흐름,기존 점주 사용 흐름 유지,기존 POS와 앱에서 익숙한 매출 확인·주문 확인·재고 확인·알림 확인 흐름을 크게 바꾸지 않고 개선한다.,미착수,P1,,메뉴명과 주요 진입 순서가 기존 흐름과 유사하게 유지되고 새 구조가 기존 업무를 끊지 않는다.
공통,UX,업무 흐름,알림-판단-실행-기록 전환 단축,알림 진입 후 관련 상세 확인과 핵심 실행까지의 단계를 줄여 점주가 빠르게 행동할 수 있게 한다.,미착수,P1,,알림에서 상세 페이지 진입 후 추가 탐색 없이 핵심 버튼 액션까지 도달할 수 있다.
공통,UX,정보 우선순위,즉시 액션 정보와 참고 정보 시각 분리,즉시 대응이 필요한 정보와 참고성 정보를 색상·배지·레이아웃 수준에서 구분해 점주가 우선순위를 빠르게 이해하게 한다.,미착수,P1,,긴급 정보가 요약 카드 상단 또는 강조 상태로 먼저 노출되고 참고 정보는 보조 영역으로 분리된다.
공통,알림,알림 인박스,통합 알림 인박스,생산·주문·분석 관련 알림을 한 곳에서 확인할 수 있는 인박스를 제공한다.,완료,P1,,알림 유형별 배지와 미읽음 개수가 정상 표시된다.
공통,알림,딥링크,알림 클릭 시 관련 카드/섹션 포커스 이동,알림 진입 시 대상 페이지의 해당 카드·섹션으로 자동 스크롤 또는 포커스 이동해 바로 실행할 수 있게 한다.,미착수,P1,,알림 클릭 후 관련 페이지 진입 시 대상 섹션이 즉시 강조되거나 화면 상단에 보인다.
공통,AI 보조,채팅 진입,컨텍스트형 AI 채팅 패널,현재 페이지 컨텍스트에 맞는 Quick Action과 AI 해설 패널을 제공한다.,완료,P2,,페이지 전환 시 관련 액션과 설명이 변경된다.
공통,AI 보조,배치,플로팅 챗을 카드 인접형 컨텍스트 챗으로 전환,플로팅 버튼 중심 진입을 줄이고 각 핵심 카드 우측 상단 인접 영역에서 문맥형 챗을 열 수 있게 한다.,미착수,P1,,홈·생산·주문·손익 카드별로 개별 챗 진입점이 보이고 플로팅 챗 없이도 대화 시작이 가능하다.
공통,AI 보조,도메인 가드,카드별 추천 질의 범위 제한,"생산 카드는 생산 질의, 주문 카드는 주문 질의, 손익 카드는 손익 질의만 우선 제안해 도메인 혼선을 줄인다.",미착수,P1,,카드별 빠른 질문 목록이 해당 도메인 중심으로 분리되어 표시된다.
공통,AI 보조,인터랙션 원칙,채팅 보조 수단 및 버튼 액션 우선,채팅은 보조 수단으로 두고 생산 등록·주문 확정·품절 처리 같은 핵심 액션은 버튼 기반으로 바로 수행하게 한다.,미착수,P1,,핵심 액션은 항상 버튼 CTA로 노출되고 채팅 없이도 주요 업무를 완료할 수 있다.
공통,API 연동,공통 클라이언트,프론트 API 연동 계층,프론트에서 백엔드 bootstrap·주문·생산·분석 API를 공통 request 유틸과 타입 정의로 호출할 수 있는 연동 계층을 제공한다.,완료,P1,,핵심 페이지가 동일한 API 계층을 사용하고 환경변수 기준 base URL 호출이 가능하다.
홈,요약,우선순위,지금 해야 할 일 3개 요약,홈 진입 시 오늘 가장 먼저 처리해야 할 액션 3개를 우선 노출하고 AI 추천 근거와 신뢰도를 함께 보여준다.,완료,P1,src/features/dashboard/screens/DashboardScreen.tsx / src/lib/api.ts,홈 첫 화면에서 생산·주문·손익 관련 핵심 액션 3개가 우선순위와 함께 보이고 ai_reasoning·confidence_score·is_finished_good 상태가 반영된다.
홈,요약,생산 카드,생산 현황 요약 카드,품절 위험 SKU 수와 마지막 갱신 기준 및 상세 페이지 이동을 포함한 생산 카드 요약을 제공한다.,완료,P1,,홈에서 생산 위험 현황을 요약 확인하고 생산관리 상세로 이동할 수 있다.
홈,요약,주문 카드,주문 관리 요약 카드,주문 마감 상태와 최근 선택 상태 및 상세 페이지 이동을 포함한 주문 카드 요약을 제공한다.,완료,P1,,홈에서 주문 검토 필요 여부를 확인하고 주문관리 상세로 이동할 수 있다.
홈,요약,손익 카드,손익분석 요약 카드,오늘 손익 핵심 지표와 비교 인사이트 및 상세 페이지 이동을 포함한 손익 카드 요약을 제공한다.,완료,P1,src/features/dashboard/screens/DashboardScreen.tsx / src/lib/api.ts,홈에서 오늘 손익 핵심 요약과 손익분석 상세 진입이 가능하다.
홈,지표,핵심 지표,생산 위험 SKU·주문 마감 잔여 시간·오늘 순이익 추정 노출,점주가 가장 자주 보는 3개 핵심 지표를 홈 상단에서 바로 확인할 수 있게 한다.,미착수,P1,,세 지표가 숫자와 상태값으로 고정 노출되고 실시간 데이터 기준으로 갱신된다.
홈,실행,긴급 대응,긴급 알림과 즉시 실행 버튼,위험 생산 SKU와 주문 마감 임박 및 손익 이상 징후에 대해 바로 상세/실행으로 연결되는 CTA를 제공한다.,미착수,P1,,홈에서 추가 탐색 없이 생산 등록·주문 검토·손익 질문 액션으로 이동할 수 있다.
