대분류,중분류,소분류,기능,설명,작업상태,우선순위,전제조건,인수조건
AI공통,생산 관리 Agent,생산 관리 Agent,5분 단위로 생산 대상 품목 재고를 조회하고 현재 재고량을 화면과 AP…,5분 단위로 생산 대상 품목 재고를 조회하고 현재 재고량을 화면과 API로 제공한다.,미착수,P1,"생산 관리, 주문 관리, 매출 분석의 POC용 통합 운영 대시보드와 채팅 경험 구현, 재고 예측, 주문 옵션 추천, 질의 라우팅, RAG 응답의 초기 AI 파이프라인 구현, 생산/주문/매출 데이터 조회 API와 기본 저장 구조 구현 / 생산과 주문 추천은 의사결정 보조로 한정하고 최종 승인 주체는 점주로 유지한다., 매출, 손익, 점포 성과, 생산량, 원가 정보는 민감정보로 분류하고 퍼블릭 LLM 직접 전송을 제한한다., 역할 기반 접근 제어를 적용해 점주, 매장 운영 담당자, 본사 담당자의 조회 범위를 구분한다.","1) 5분 단위로 생산 대상 품목 재고를 조회하고 현재 재고량을 화면과 API로 제공한다. 구현 2) 모델 입력/출력, 품질 기준, 사람 검수 지점이 정의된다 3) 문서 기준 흐름 검증"
의사결정,추천/예측,생산 관리 Agent,최근 판매 추세와 4주 평균 생산 패턴을 결합해 1시간 후 예상 재고량…,최근 판매 추세와 4주 평균 생산 패턴을 결합해 1시간 후 예상 재고량을 예측한다.,미착수,P1,"생산 관리, 주문 관리, 매출 분석의 POC용 통합 운영 대시보드와 채팅 경험 구현, 재고 예측, 주문 옵션 추천, 질의 라우팅, RAG 응답의 초기 AI 파이프라인 구현, 생산/주문/매출 데이터 조회 API와 기본 저장 구조 구현 / 생산과 주문 추천은 의사결정 보조로 한정하고 최종 승인 주체는 점주로 유지한다., 매출, 손익, 점포 성과, 생산량, 원가 정보는 민감정보로 분류하고 퍼블릭 LLM 직접 전송을 제한한다., 역할 기반 접근 제어를 적용해 점주, 매장 운영 담당자, 본사 담당자의 조회 범위를 구분한다.","1) 최근 판매 추세와 4주 평균 생산 패턴을 결합해 1시간 후 예상 재고량을 예측한다. 구현 2) 모델 입력/출력, 품질 기준, 사람 검수 지점이 정의된다 3) 문서 기준 흐름 검증"
AI공통,생산 관리 Agent,생산 관리 Agent,재고 소진 1시간 전에 생산 필요 시점을 자동 감지하고 PUSH 알림을…,재고 소진 1시간 전에 생산 필요 시점을 자동 감지하고 PUSH 알림을 발송한다.,미착수,P1,"생산 관리, 주문 관리, 매출 분석의 POC용 통합 운영 대시보드와 채팅 경험 구현, 재고 예측, 주문 옵션 추천, 질의 라우팅, RAG 응답의 초기 AI 파이프라인 구현, 생산/주문/매출 데이터 조회 API와 기본 저장 구조 구현 / 생산과 주문 추천은 의사결정 보조로 한정하고 최종 승인 주체는 점주로 유지한다., 매출, 손익, 점포 성과, 생산량, 원가 정보는 민감정보로 분류하고 퍼블릭 LLM 직접 전송을 제한한다., 역할 기반 접근 제어를 적용해 점주, 매장 운영 담당자, 본사 담당자의 조회 범위를 구분한다.","1) 재고 소진 1시간 전에 생산 필요 시점을 자동 감지하고 PUSH 알림을 발송한다. 구현 2) 모델 입력/출력, 품질 기준, 사람 검수 지점이 정의된다 3) 문서 기준 흐름 검증"
AI공통,생산 관리 Agent,생산 관리 Agent,"알림에는 현재고, 1시간 후 추정 재고, 4주 평균 1차 및 2차 생산…","알림에는 현재고, 1시간 후 추정 재고, 4주 평균 1차 및 2차 생산 시간과 수량을 포함한다.",미착수,P1,"생산 관리, 주문 관리, 매출 분석의 POC용 통합 운영 대시보드와 채팅 경험 구현, 재고 예측, 주문 옵션 추천, 질의 라우팅, RAG 응답의 초기 AI 파이프라인 구현, 생산/주문/매출 데이터 조회 API와 기본 저장 구조 구현 / 생산과 주문 추천은 의사결정 보조로 한정하고 최종 승인 주체는 점주로 유지한다., 매출, 손익, 점포 성과, 생산량, 원가 정보는 민감정보로 분류하고 퍼블릭 LLM 직접 전송을 제한한다., 역할 기반 접근 제어를 적용해 점주, 매장 운영 담당자, 본사 담당자의 조회 범위를 구분한다.","1) 알림에는 현재고, 1시간 후 추정 재고, 4주 평균 1차 및 2차 생산 시간과 수량을 포함한다. 구현 2) 모델 입력/출력, 품질 기준, 사람 검수 지점이 정의된다 3) 문서 기준 흐름 검증"
AI공통,생산 관리 Agent,게시보조,생산 등록 이후 재고 소진 전후 상태에 따라 찬스 로스 감소 또는 발생…,생산 등록 이후 재고 소진 전후 상태에 따라 찬스 로스 감소 또는 발생 피드백을 기록한다.,미착수,P1,"생산 관리, 주문 관리, 매출 분석의 POC용 통합 운영 대시보드와 채팅 경험 구현, 재고 예측, 주문 옵션 추천, 질의 라우팅, RAG 응답의 초기 AI 파이프라인 구현, 생산/주문/매출 데이터 조회 API와 기본 저장 구조 구현 / 생산과 주문 추천은 의사결정 보조로 한정하고 최종 승인 주체는 점주로 유지한다., 매출, 손익, 점포 성과, 생산량, 원가 정보는 민감정보로 분류하고 퍼블릭 LLM 직접 전송을 제한한다., 역할 기반 접근 제어를 적용해 점주, 매장 운영 담당자, 본사 담당자의 조회 범위를 구분한다.","1) 생산 등록 이후 재고 소진 전후 상태에 따라 찬스 로스 감소 또는 발생 피드백을 기록한다. 구현 2) 모델 입력/출력, 품질 기준, 사람 검수 지점이 정의된다 3) 문서 기준 흐름 검증"
AI공통,주문 관리 Agent,주문 관리 Agent,주문 마감 20분 전에 점주에게 PUSH 알림을 보낸다.,주문 마감 20분 전에 점주에게 PUSH 알림을 보낸다.,미착수,P1,"생산 관리, 주문 관리, 매출 분석의 POC용 통합 운영 대시보드와 채팅 경험 구현, 재고 예측, 주문 옵션 추천, 질의 라우팅, RAG 응답의 초기 AI 파이프라인 구현, 생산/주문/매출 데이터 조회 API와 기본 저장 구조 구현 / 생산과 주문 추천은 의사결정 보조로 한정하고 최종 승인 주체는 점주로 유지한다., 매출, 손익, 점포 성과, 생산량, 원가 정보는 민감정보로 분류하고 퍼블릭 LLM 직접 전송을 제한한다., 역할 기반 접근 제어를 적용해 점주, 매장 운영 담당자, 본사 담당자의 조회 범위를 구분한다.","1) 주문 마감 20분 전에 점주에게 PUSH 알림을 보낸다. 구현 2) 모델 입력/출력, 품질 기준, 사람 검수 지점이 정의된다 3) 문서 기준 흐름 검증"
의사결정,추천/예측,주문 관리 Agent,알림 클릭 시 주문 추천 채팅 화면으로 진입한다.,알림 클릭 시 주문 추천 채팅 화면으로 진입한다.,미착수,P1,"생산 관리, 주문 관리, 매출 분석의 POC용 통합 운영 대시보드와 채팅 경험 구현, 재고 예측, 주문 옵션 추천, 질의 라우팅, RAG 응답의 초기 AI 파이프라인 구현, 생산/주문/매출 데이터 조회 API와 기본 저장 구조 구현 / 생산과 주문 추천은 의사결정 보조로 한정하고 최종 승인 주체는 점주로 유지한다., 매출, 손익, 점포 성과, 생산량, 원가 정보는 민감정보로 분류하고 퍼블릭 LLM 직접 전송을 제한한다., 역할 기반 접근 제어를 적용해 점주, 매장 운영 담당자, 본사 담당자의 조회 범위를 구분한다.","1) 알림 클릭 시 주문 추천 채팅 화면으로 진입한다. 구현 2) 모델 입력/출력, 품질 기준, 사람 검수 지점이 정의된다 3) 문서 기준 흐름 검증"
AI공통,주문 관리 Agent,주문 관리 Agent,"전주 동요일, 전전주 동요일, 전월 동요일 기준의 3개 주문 옵션을 자…","전주 동요일, 전전주 동요일, 전월 동요일 기준의 3개 주문 옵션을 자동 제안한다.",미착수,P1,"생산 관리, 주문 관리, 매출 분석의 POC용 통합 운영 대시보드와 채팅 경험 구현, 재고 예측, 주문 옵션 추천, 질의 라우팅, RAG 응답의 초기 AI 파이프라인 구현, 생산/주문/매출 데이터 조회 API와 기본 저장 구조 구현 / 생산과 주문 추천은 의사결정 보조로 한정하고 최종 승인 주체는 점주로 유지한다., 매출, 손익, 점포 성과, 생산량, 원가 정보는 민감정보로 분류하고 퍼블릭 LLM 직접 전송을 제한한다., 역할 기반 접근 제어를 적용해 점주, 매장 운영 담당자, 본사 담당자의 조회 범위를 구분한다.","1) 전주 동요일, 전전주 동요일, 전월 동요일 기준의 3개 주문 옵션을 자동 제안한다. 구현 2) 모델 입력/출력, 품질 기준, 사람 검수 지점이 정의된다 3) 문서 기준 흐름 검증"
의사결정,추천/예측,주문 관리 Agent,"캠페인, 명절, 이상치 등 옵션별 특이사항과 추천 근거를 설명한다.","캠페인, 명절, 이상치 등 옵션별 특이사항과 추천 근거를 설명한다.",미착수,P1,"생산 관리, 주문 관리, 매출 분석의 POC용 통합 운영 대시보드와 채팅 경험 구현, 재고 예측, 주문 옵션 추천, 질의 라우팅, RAG 응답의 초기 AI 파이프라인 구현, 생산/주문/매출 데이터 조회 API와 기본 저장 구조 구현 / 생산과 주문 추천은 의사결정 보조로 한정하고 최종 승인 주체는 점주로 유지한다., 매출, 손익, 점포 성과, 생산량, 원가 정보는 민감정보로 분류하고 퍼블릭 LLM 직접 전송을 제한한다., 역할 기반 접근 제어를 적용해 점주, 매장 운영 담당자, 본사 담당자의 조회 범위를 구분한다.","1) 캠페인, 명절, 이상치 등 옵션별 특이사항과 추천 근거를 설명한다. 구현 2) 모델 입력/출력, 품질 기준, 사람 검수 지점이 정의된다 3) 문서 기준 흐름 검증"
AI공통,주문 관리 Agent,주문 관리 Agent,최종 의사결정은 점주가 수행하며 선택 결과와 사유를 저장한다.,최종 의사결정은 점주가 수행하며 선택 결과와 사유를 저장한다.,미착수,P1,"생산 관리, 주문 관리, 매출 분석의 POC용 통합 운영 대시보드와 채팅 경험 구현, 재고 예측, 주문 옵션 추천, 질의 라우팅, RAG 응답의 초기 AI 파이프라인 구현, 생산/주문/매출 데이터 조회 API와 기본 저장 구조 구현 / 생산과 주문 추천은 의사결정 보조로 한정하고 최종 승인 주체는 점주로 유지한다., 매출, 손익, 점포 성과, 생산량, 원가 정보는 민감정보로 분류하고 퍼블릭 LLM 직접 전송을 제한한다., 역할 기반 접근 제어를 적용해 점주, 매장 운영 담당자, 본사 담당자의 조회 범위를 구분한다.","1) 최종 의사결정은 점주가 수행하며 선택 결과와 사유를 저장한다. 구현 2) 모델 입력/출력, 품질 기준, 사람 검수 지점이 정의된다 3) 문서 기준 흐름 검증"
