대분류,중분류,소분류,기능명,설명,작업상태,우선순위,구현 파일,인수조건
공통,레이아웃,사이드바,모바일 사이드바 드로어,햄버거 메뉴 클릭 시 모바일에서 사이드바 드로어 표시 및 오버레이 처리,완료,P1,AppSidebar.tsx / AppLayout.tsx / AppHeader.tsx,모바일에서 사이드바 열기/닫기 동작 정상 확인
공통,레이아웃,사이드바,역할별 메뉴 필터링,현재 선택된 역할(점주/SV/본사/마케터)에 따라 사이드바 메뉴 항목 동적 표시,완료,P1,AppSidebar.tsx / navigation.ts,역할 변경 시 메뉴 항목 즉시 반영 확인
공통,레이아웃,사이드바,중복 라우트 제거,분석·SV·본사 섹션의 메뉴 항목을 고유 경로로 분리,완료,P1,navigation.ts / router.tsx,각 메뉴 항목 클릭 시 올바른 페이지로 이동 확인
공통,레이아웃,헤더,알림 인박스,헤더 벨 아이콘 클릭 시 생산·주문·분석 알림 드롭다운 표시,완료,P1,AppHeader.tsx / notifications.ts,미읽음 배지 카운트 및 드롭다운 노출 확인
공통,레이아웃,헤더,브레드크럼 내비게이션,현재 페이지 경로에 맞는 브레드크럼 표시 (SV·본사 하위 경로 포함),완료,P1,AppHeader.tsx,모든 신규 경로에서 올바른 브레드크럼 노출 확인
공통,레이아웃,AI 채팅,페이지별 컨텍스트 해설,각 페이지에 맞는 Quick Action과 AI 해설 패널 표시,완료,P2,FloatingAiChat.tsx,신규 라우트(/analytics /sv/* /signals)에서 관련 해설 노출 확인
생산 관리,생산 관리 Agent,재고 현황,품목별 재고 현황 테이블,SKU별 현재고·1시간 후 예측·소진 예상 시각·상태 표시 테이블,완료,P1,ProductionPage.tsx,위험/주의/안전 상태 배지 및 소진 시각 노출 확인
생산 관리,생산 관리 Agent,재고 현황,품절 위험 알림 배너,위험 상태 SKU 존재 시 페이지 상단 알림 배너 표시,완료,P1,ProductionPage.tsx,위험 SKU 개수와 대응 필요 메시지 노출 확인
생산 관리,생산 관리 Agent,재고 예측,5분 단위 재고 조회 표시,재고 현황 테이블에 마지막 업데이트 시각과 실시간 배지 표시,완료,P1,ProductionPage.tsx,업데이트 시각 및 실시간 배지 노출 확인
생산 관리,생산 관리 Agent,재고 예측,1시간 후 예측 재고 표시,각 SKU별 1시간 후 예상 재고량 테이블에 표시,완료,P1,ProductionPage.tsx,위험 SKU의 예측 재고 빨간색 강조 확인
생산 관리,생산 관리 Agent,생산 등록,생산 등록 모달,위험/주의 SKU의 생산 등록 버튼 클릭 시 현재고·예측·수량 입력 모달 표시,완료,P1,ProductionPage.tsx,모달 내 현재고·예측 정보 및 수량 입력 후 확인 등록 동작 확인
