대분류,중분류,소분류,기능,설명,작업상태,우선순위,전제조건,인수조건
공통,API,헬스체크,헬스체크 API,GET /health 경로에서 서비스 상태를 확인하는 헬스체크 응답을 제공한다.,완료,P1,"FastAPI 앱 기동 / v1 라우터 구성","status=ok 응답을 반환한다."
공통,API,설정,BaseSettings 기반 환경 설정,pydantic-settings 기반 Settings 클래스로 APP_NAME·CORS_ORIGINS 등을 .env 또는 환경변수로 관리한다.,완료,P1,"pydantic-settings 설치","설정값이 .env에서 로드되고 CORS_ORIGINS가 리스트로 파싱된다."
공통,API,CORS,CORS 미들웨어 설정,CORS_ORIGINS 설정값 기반으로 허용 Origin을 구성하고 인증 포함 요청을 허용한다.,완료,P1,"BaseSettings 설정 / FastAPI middleware 구성","설정된 Origin에 대해 인증 포함 요청이 허용되고 프론트 로컬 개발에서 API 호출이 동작한다."
공통,API,라우터 구조,api/v1 모듈 분리,단일 routes.py를 api/v1/router.py와 기능별 endpoints 모듈로 분리해 운영한다.,완료,P1,"FastAPI 앱 기동","각 엔드포인트가 독립 파일로 관리되고 prefix와 tag가 OpenAPI 스펙에 반영된다."
공통,API,비동기,서비스·리포지토리 async 전환,동기 def 함수를 async def와 await로 전환해 FastAPI 비동기 런타임에 맞게 구성한다.,완료,P1,"v1 라우터 구성","주요 엔드포인트 및 서비스·리포지토리 메서드가 async로 동작한다."
공통,API,프론트 연동,점주 운영 대시보드 REST 계약 정비,"홈·생산관리·주문관리·손익분석·analytics 화면에서 사용하는 응답 계약을 신규 onepager와 현재 UI 기준으로 재정의한다.",진행중,P1,"api/v1 라우터 구성 / CORS 설정 / 기능별 응답 스키마 정의","프론트가 단일 base URL 기준으로 각 화면의 실제 데이터를 조회하고 필드 불일치 없이 렌더링한다."
공통,API,권한/정책,역할 기반 접근 제어 API,점주·매장 운영 담당자·본사 운영 담당자 역할에 따라 API 접근 범위와 민감 손익 데이터 노출 범위를 통제한다.,진행중,P1,"인증 헤더 또는 세션 기반 사용자 식별 / 민감정보 보호 정책","역할이 다른 사용자가 같은 엔드포인트를 호출했을 때 허용 범위가 다르게 적용되고 손익 민감 필드는 권한 없는 경우 마스킹 또는 차단된다."
공통,API,부트스트랩,부트스트랩 요약 API,프론트 초기 구동에 필요한 제품 요약·목표·정책·기능 목록을 GET /api/bootstrap으로 제공한다.,완료,P1,"v1 라우터 구성 / BootstrapResponse 스키마 정의","프론트 bootstrap 데이터가 응답 모델에 맞게 반환된다."
공통,API,홈,홈 대시보드 요약 API,"오늘 해야 할 일 3개·생산/주문/손익 요약 카드·핵심 KPI·즉시 실행 CTA 데이터를 한 번에 제공한다.",완료,P1,"생산·주문 집계 API 또는 내부 집계 서비스 / app/services/home_service.py","POST /api/home/overview 한 번으로 홈 화면의 우선순위 카드·핵심 수치·상세 이동용 링크 상태를 모두 렌더링할 수 있다."
공통,API,홈,오늘 해야 할 일 우선순위 산출 API,"생산 위험·주문 마감·손익 확인 필요 이벤트를 공통 우선순위 룰로 정렬해 상위 3개 액션을 반환한다.",완료,P1,"알림 이벤트·생산 위험도·주문 마감 정보 / app/services/home_service.py","우선순위 3개가 항상 정렬된 상태로 반환되고 각 항목은 긴급도·근거·대상 페이지 링크와 ai_reasoning·confidence_score·is_finished_good 필드를 포함한다."
공통,알림,API,알림 인박스 API 구현,GET /api/notifications 경로로 알림 목록·미읽음 수·link_to·link_state를 포함한 알림 인박스 응답을 제공한다.,완료,P1,"app/api/v1/endpoints/notifications.py / app/api/v1/router.py","알림 목록이 반환되고 link_to·link_state 필드가 응답에 포함된다."
